feature,importance
is_canceled,961941.2553334116
adr,650668.85472886
total_nights,415535.94646342983
is_repeated_guest,3270.124827119522
cancellation_penalty,3198.2303224802017
stays_in_week_nights,578.9911519458983
stays_in_weekend_nights,146.64127387921326
total_guests,111.59308413928375
arrival_month_num,68.11381311668083
lead_time,51.09326342586428
market_segment,30.193930204492062
adults,26.56612352724187
hotel,22.991341845830902
arrival_weekday,22.46606646233704
booking_changes,19.863511310424656
assigned_room_type,14.081633842084557
meal,12.29890861781314
country,11.037658645771444
reserved_room_type,10.972160801757127
lead_time_bin,8.779777002055198
customer_type,6.7601843611337245
previous_cancellations,6.068799037253484
required_car_parking_spaces,4.977025521104224
total_of_special_requests,4.080705578438938
distribution_channel,3.6266722404398024
deposit_type,2.072753747808747
days_in_waiting_list,1.5498814657330513
previous_bookings_not_canceled,1.469740603119135
children,1.2968117238488048
babies,0.023219400085508823
repeat_multiplier,0.0
